,Current Market Cap,Last Price,Alpha,Beta,Revenue Growth Year over Year,ROA,ROE,Profit Margin,Asset Turnover,Financial Leverage,EBIT/Interest,Price Earnings Ratio (P/E),Price to Sales Ratio,Short and Long Term Debt,Total Equity,Operating Return on Total Invested Capital,Weighted Average Cost of Cap,Free Cash Flow,Price to Book Ratio,Industry Group,WACC Economic Value Added,Total Compensation Paid to Executives
RSG UN Equity,42458895466,134.41,0.236227497,0.801692069,11.24133312,5.729161256,15.65315124,11.42452413,0.484842945,2.770976018,6.496245307,31.10604629,3.663679943,9831.6,8979.7,11.71844687,7.238735508,1470.4,4.786037419,Environmental Control,369.8593604,36674976
RTX UN Equity,1.43263E+11,96.33,0.081538044,1.0254004,13.78585187,4.363091083,9.683403893,6.001118221,0.405364186,2.227878346,3.65095729,20.69250882,2.221071974,33553,74699,4.683436944,8.60664515,4937,1.977083628,Aerospace/Defense,-7388.273384,81312142
SBAC UW Equity,35536142048,329.56,0.000123663,0.716819823,10.83442384,5.132734271,#N/A N/A,10.29194823,0.239115604,#N/A N/A,1.862670885,71.36818272,15.0893091,14522.544,-5266.154,8.771373514,6.806144063,1056.202,#N/A N/A,REITS,4.944949717,25791353
SBNY UW Equity,13750718329,218.04,0.50762403,1.105504513,15.16667049,0.994010042,13.90350228,45.88956019,0.023776519,14.07232512,#N/A N/A,12.75833782,5.274103818,3614.133,7840.618,12.2656869,9.413097318,847.446,1.620119723,Banks,-84.11176069,24593338
SBUX UW Equity,90662445000,79.05,-0.246397302,1.038536429,23.56748023,13.80819331,#N/A N/A,14.450149,1.091739091,#N/A N/A,10.37058323,23.58557507,2.955534491,23605.1,-5314.5,32.96376644,8.664400027,4519.1,#N/A N/A,Retail,2710.76115,55835489
SCHW UN Equity,1.32877E+11,70.07,0.268213421,1.160989404,56.87505161,0.929073458,14.07496184,30.82227837,0.030512525,12.88827076,#N/A N/A,23.05312605,6.975788639,24510,56261,10.11976567,9.105997415,1202,3.41643095,Diversified Finan Serv,-2966.655061,58424857
SEDG UW Equity,16524242607,298.34,0.668630183,1.308728218,34.57849844,5.023562385,9.928598733,8.6141359,0.720114648,2.224383462,32.48729611,106.8054927,7.196720028,715.558,1310.039,9.535224938,11.67316205,64.878,8.218700387,Energy-Alternate Sources,-151.0225788,17819144
SEE UN Equity,9172641234,62.79,0.345655322,1.074217796,12.86098874,9.197251368,379.3535239,9.158263761,0.944573228,29.23338082,4.963636364,17.15238715,1.648446841,3784,248.7,24.88783926,8.034639819,496.6,48.17498678,Packaging&Containers,414.3695415,19551614
SHW UN Equity,69944105557,268.88,0.156833172,0.860379934,8.620661486,8.896678319,70.60643704,9.347893665,0.962272384,6.790393519,7.645354048,38.15707421,3.45680801,11495.4,2437.2,17.38188153,7.848364897,1872.6,31.30470699,Chemicals,828.5473421,33937998
SIVB UW Equity,28265038487,480.28,0.440638572,1.376619577,47.65696545,1.006088696,17.25378766,30.97853642,0.034424991,15.97440175,#N/A N/A,15.27975941,4.413745817,3079,16609,16.81168043,10.61522241,1699,2.291207236,Banks,-141.6278422,31393405
SJM UN Equity,13315437031,122.77,0.065524325,0.591037273,2.585565953,4.58820426,9.020150351,10.95005436,0.486810019,2.038196338,7.830604178,17.92481748,1.688396671,4909.9,8124.8,7.385507336,6.067711242,1258.3,1.610751296,Food,-49.18135231,25737421
SLB UN Equity,67096979666,47.47,0.691969812,1.03205049,-2.847336977,4.944775782,14.8933668,8.20358498,0.563503684,3.100461681,5.12987013,32.52227555,2.815570846,15009,15286,9.614980353,8.311965744,3510,4.370568302,Oil&Gas Services,-192.6202272,42115387
SNA UN Equity,11752475667,220.19,0.207391307,0.856989026,16.72923748,12.44791321,20.66256438,17.83036704,0.688938513,1.66321127,21.15819209,14.28408709,2.528404901,1261,4203.8,20.71013371,7.886897522,896.5,2.734062115,Hand/Machine Tools,465.9130779,21110774
SNPS UW Equity,50125291192,327.68,0.348639876,1.104781032,14.08066305,10.79639414,17.78710112,18.01810716,0.542341612,1.644915909,218.3625557,54.24562812,10.53364673,666.767,5298.943,18.22856592,10.55351899,1398.858,9.007457218,Software,364.7376725,42960825
SO UN Equity,79965607041,75.26,0.130038083,0.688063562,13.43803681,2.819440071,12.61431163,10.41837927,0.187779492,4.484994449,2.01306478,22.39818354,3.350424017,55470,32567,3.412491246,5.911843915,-1518,2.827203671,Electric,-2629.459717,52509305
SPG UN Equity,36134693120,109.95,0.054290276,1.073753595,11.05340572,5.884449288,63.99424248,43.96567848,0.152447291,10.8466588,2.914561636,18.09487788,6.984790165,25827.953,4400.725,8.089841508,7.469386363,3109.467,11.23661052,REITS,-10.96947265,20524171
SPGI UN Equity,1.14183E+11,335.93,-0.181277916,0.93401432,11.48884708,7.140290413,13.83429076,36.44690852,0.2197106,10.84730421,35.47058824,29.29471723,9.665922871,4702,5536,15.5102544,8.895404514,3563,3.511433856,Commercial Services,-1252.700399,36477359
SRE UN Equity,50367332983,160.25,0.080623157,0.677764714,13.07827617,3.340955423,9.98321122,10.25122501,0.188002214,3.059888038,0.911660777,21.28186835,3.772768045,25164,27419,2.090116018,5.428449991,-1173,2.007492567,Electric,-1557.313137,43584773
STE UN Equity,22064649064,220.47,0.120039284,0.909016728,47.54741644,6.896497729,11.91966678,5.319184203,0.509506327,1.728365215,4.55308679,34.17790356,4.6998572,3279.884,6544.637,5.12525918,8.331199505,397.248,3.377306995,Healthcare-Products,-12.55399312,16193325
STT UN Equity,26175314473,71.3,-0.260522276,1.297943473,-0.397416791,0.888508454,12.01967497,22.39128627,0.038073635,12.81313625,#N/A N/A,9.081882022,2.087710363,15336,27363,7.786106357,8.942568409,-7521,1.079482246,Banks,-1312.383785,48993578
STX UW Equity,17769744676,82.71,0.234612927,1.057020307,1.636692359,20.20054614,396.1762359,12.30221889,1.357372246,7.280810587,6.631111111,10.50094219,1.533061831,5193,631,35.78176866,8.794984388,1128,42.43553397,Computers,1527.214804,24608668
STZ UN Equity,46216695530,243.33,0.062754728,1.052326083,2.388884375,7.218512635,15.09217081,-0.458013536,0.333104232,2.090759076,6.542368126,25.33482531,5.256208831,10954.2,12047.8,10.56147916,8.317595979,1678.6,3.938579597,Beverages,-863.9073178,39012661
SWK UN Equity,17289979188,114.53,-0.436751992,1.015840173,19.60146121,6.139980126,17.66371605,10.81627949,0.641701747,2.63338609,9.798274002,11.49590489,1.06090564,6766,11592.4,8.032414696,7.348847388,144,2.009808319,Hand/Machine Tools,-45.54673225,28089868
SWKS UW Equity,17172427759,106.71,-0.450147063,1.07072413,52.25139315,20.1944967,29.05703522,29.3261044,0.74032009,1.44772917,120.3507463,12.34420934,3.334227504,2413.1,5297.1,23.71209148,9.604816833,1134.2,3.325561202,Semiconductors,676.3207689,33074623
SYF UN Equity,17772763356,35.44,0.092242382,1.225157976,-4.37105391,4.27687172,32.23567457,26.79659726,0.167527378,7.707301383,#N/A N/A,4.808683667,1.208090166,14507,13655,14.66542223,7.698126519,7099,1.416209804,Diversified Finan Serv,922.6307557,38880518
SYK UN Equity,86604847402,229.02,-0.132036299,1.068151832,19.21120479,8.725140821,21.26944094,11.65536591,0.500919646,2.4663281,7.667655786,28.88634748,4.956865384,12901,14877,9.010838027,9.251931542,2738,5.756703816,Healthcare-Products,-821.6380599,45205268
SYY UN Equity,42923337498,84.25,0.079249926,1.175186396,-3.016387139,6.3976342,104.4692412,1.02189287,2.966882876,16.24254428,1.632975321,30.60399018,0.654198951,11820.247,1587.484,15.26088277,9.082676795,1433.166,32.4314333,Food,417.7493954,43542632
T UN Equity,1.49623E+11,20.9,-0.200526595,0.520048916,-1.686073591,3.80416336,12.78402855,11.89181827,0.29004252,3.284654197,3.308346323,7.068375754,0.919619752,203662,183855,5.265132906,4.536055437,25430,0.885155217,Telecommunications,-1951.779527,87438524
TAP UN Equity,11643452106,53.56,0.111812048,0.858288229,6.481251295,3.800667212,7.988480657,9.783359437,0.386112078,2.131327549,5.404682274,11.1636061,1.097759133,7295.3,13664.1,7.069563355,6.570835935,1050.9,0.858904233,Beverages,254.1523978,20703437
TDG UN Equity,33656157862,616.35,-0.008219714,1.097319841,-5.976876347,5.548639282,#N/A N/A,14.1725719,0.267056945,#N/A N/A,#N/A N/A,34.62491114,7.212527253,20197,-2910,11.41840873,7.936673918,808,#N/A N/A,Aerospace/Defense,465.2668923,104370328
TDY UN Equity,18978382298,405.15,-0.133818448,1.039551139,49.51396539,5.478972999,10.72841065,9.650434519,0.469109948,1.79852727,#N/A N/A,31.48755267,3.628541214,4265.7,7622,7.574203492,8.798631998,723,2.422283931,Aerospace/Defense,-450.3095702,17493886
TECH UW Equity,14245687844,363.1,0.062445752,1.317446113,26.03808629,10.01158995,13.49061568,15.08111429,0.490998131,1.457305862,17.00802752,67.99582289,13.20654506,420.554,1571.234,14.60436578,11.93351048,307.863,8.315886804,Healthcare-Products,22.84772197,35692295
TEL UN Equity,41905148637,130.07,0.098210163,1.118029118,22.60105159,11.02833703,23.26090199,15.15110903,0.730256023,2.033471549,43.46428571,18.37481792,2.750078708,4544,10748,22.32592112,7.656815586,1986,4.021167777,Electronics,1127.021679,30998012
TER UW Equity,17210610116,107.43,0.080456205,1.423087597,18.62623015,27.12904553,41.41918828,27.39998936,1.003332164,1.562752774,67.38047138,19.62782593,4.792821159,184.581,2563.956,42.99311333,12.65927578,965.894,6.991998422,Semiconductors,637.5500707,20935403
TFC UN Equity,65359108155,49.09,-0.095610961,1.04374218,-5.579891104,1.380329642,12.30261965,28.88410477,0.043093086,8.379819236,#N/A N/A,9.013197229,2.861215952,42805,69271,6.923093744,7.363376229,7450,1.120160305,Banks,-3648.899274,72167668
TFX UN Equity,13218781347,281.85,-0.445516914,0.9655599,10.73670677,10.08372874,19.54691373,17.27578275,0.405335661,1.977700687,11.02520669,19.07462948,4.683711347,1988.265,3754.748,10.02632041,8.876086196,579.801,3.559498661,Healthcare-Products,-127.9446397,16970014
TGT UN Equity,74673670350,161.04,0.144454122,0.96691364,13.30041363,11.54639582,45.45913807,6.552521107,2.11183165,3.852972458,21.24940618,13.37244702,0.721226376,16467,12827,27.26865723,8.649414306,5081,6.930724123,Retail,5119.041892,42891516
TJX UN Equity,72676576924,62.03,-0.148689359,1.103782654,51.07209574,11.84520102,58.55783733,6.761722383,1.719312008,5.008164553,38.59648041,21.92332906,1.489307669,12506.992,6002.992,24.54280984,9.228451154,2012.691,13.00045557,Retail,1810.426451,81515805
TMO UN Equity,2.18475E+11,558.1,0.289224982,0.864208281,21.70525793,10.59823087,22.12363615,19.70110428,0.51832012,2.180278884,18.70895522,26.3158454,5.336277094,36339,40977,15.26455974,8.170738637,6789,5.334381596,Healthcare-Products,2560.422338,54175830
TMUS UW Equity,1.71252E+11,136.61,0.156256601,0.792334735,17.13671652,2.997441936,9.100613848,3.774432712,0.388801527,3.025192271,1.929451288,27.59334758,2.11994623,106572,69102,3.64524573,6.692328736,5722,2.446846249,Telecommunications,-6039.525992,61306852
TPR UN Equity,8782866770,34.88,0.491410702,1.233181953,15.82013141,12.39282772,34.17338992,14.51716757,0.872309562,2.945715989,#N/A N/A,10.28216739,1.421461172,3440.4,3259.3,19.10049079,8.947242008,1207.7,3.464609179,Apparel,491.11611,31205430
TRMB UW Equity,17167277853,68.63,0.141505942,1.18876791,16.24678337,7.238858053,13.18792101,13.46505971,0.539665709,1.853253951,8.577981651,34.38206084,4.579453834,1449.6,3944.7,11.4183941,10.4195264,704.4,4.304110513,Electronics,-76.22132793,28164565
TROW UW Equity,28423442206,125.05,-0.277329117,1.188676834,23.60674755,24.44137346,33.10742794,40.18430897,0.667009917,1.384842526,#N/A N/A,10.12796984,3.677782978,249.2,10253.7,36.95216184,11.02855636,3212.9,3.138997597,Diversified Finan Serv,1751.304292,62723430
TRV UN Equity,41798806938,174.19,0.17635411,0.829051912,8.864638379,3.251790989,14.24163569,10.51815257,0.299731776,4.083976036,#N/A N/A,11.27144269,1.211961635,7621,28887,4.603102169,7.618187028,7274,1.637444698,Insurance,-1295.642204,43358157
TSCO UW Equity,21754263748,194.44,0.291576684,0.946794271,19.87460491,13.37660771,55.25898294,7.832108839,1.723046848,3.773478704,49.10552424,22.2240157,1.70893576,3919.294,2002.665,23.26895014,8.654973477,510.289,12.17407567,Retail,555.461122,22324352
TSLA UW Equity,7.28885E+11,703.55,1.140788794,1.839157581,70.67161339,14.21302412,29.62228994,10.25398064,1.045122259,2.18031442,17.58221024,94.79103838,11.40347291,8873,31583,23.38940214,16.16179496,5015,21.38412168,Auto Manufacturers,1708.011502,139651362
TSN UN Equity,31603029820,87.41,0.204840228,0.688916981,8.947551233,10.53396237,21.21322078,6.476226912,1.459074632,2.145889559,10.27102804,8.607452301,0.551464171,9871,17854,20.69745453,6.668974135,2631,1.66416437,Food,2459.87156,52480315
TT UN Equity,32375632807,138.44,0.081664942,1.035729647,13.50253318,8.344980641,24.06831879,10.06904162,0.816334242,2.859889763,8.657680787,22.58115489,2.280276925,5285.4,6273.1,18.59013728,8.977891946,1365.3,5.39580445,Miscellaneous Manufactur,667.7227103,46394148
TTWO UW Equity,20566870411,126.97,-0.08694537,0.790978968,3.914524907,4.947220619,8.710784814,11.92712851,0.557448417,1.760743149,25.42382435,47.71476859,4.18449217,250.218,3809.659,12.48975604,8.620989722,99.342,3.845002435,Software,75.35281973,11319013
TWTR UN Equity,30689496430,40.16,0.018316798,1.270971894,36.62554297,-0.079306151,-0.165890306,-4.360606301,0.367439434,1.796039884,-9.352370649,#N/A N/A,6.079467419,5546.574,7307.199,-5.413545766,10.10209146,-378.857,5.193180117,Internet,-1929.159534,100726904.4
TXN UW Equity,1.58911E+11,172.33,0.064600475,0.933552384,26.85153171,36.82302126,68.39126659,42.35172263,0.844261383,1.955017762,48.69565217,19.51100349,8.391586232,8206,13333,49.84656993,8.997659411,6294,11.35998585,Semiconductors,6361.189997,46808656
TXT UN Equity,14320247246,66.58,0.288128406,1.091444373,6.274139559,4.986432562,12.09633702,6.024874818,0.798339984,2.469984202,6.084507042,19.0664654,1.184166933,4148,6815,9.111260881,8.734298332,1223,2.076724299,Miscellaneous Manufactur,-336.1436951,29736255
TYL UN Equity,14799888061,356.85,-0.175273463,0.983398259,42.59333389,4.654598154,8.323752492,10.14000617,0.440845161,1.702828653,#N/A N/A,81.63370956,8.35170414,1388.172,2324.032,6.168274454,9.290581722,316.141,6.194956272,Software,26.45332106,12817360
UA UN Equity,4990891304,10.08,-0.115743361,1.269128084,27.01427838,6.633808712,17.75850765,6.335218685,1.222832868,2.661901356,10.68769231,#N/A Field Not Applicable,#N/A Field Not Applicable,1504.306,2088.994,9.596010612,10.31876852,595.07,#N/A Field Not Applicable,Apparel,-47.39108572,32955542
UAA UN Equity,4990891304,11,-0.136174709,1.282667398,27.01427838,6.633808712,17.75850765,6.335218685,1.222832868,2.661901356,10.68769231,16.6920335,0.901638109,1504.306,2088.994,9.596010612,10.31876852,595.07,3.030559633,Apparel,-47.39108572,32955542
UAL UW Equity,14516563294,44.43,-0.06445314,1.208236814,60.42982742,-5.339433818,-79.03329558,-7.97272063,0.443442999,11.62280462,-0.616777308,#N/A N/A,0.496823353,39366,5029,-2.504710185,6.63808423,-40,4.005674226,Airlines,-3926.060731,22728100
UDR UN Equity,15219573010,47.8,-0.030883824,0.895249784,3.996406602,0.680650144,2.186277879,11.62223701,0.132986759,3.098689436,1.367246455,212.7706894,10.85627795,5605.275,4773.746,2.559831023,7.729586848,-925.101,4.546000933,REITS,-648.3944685,22372602
UHS UN Equity,8953941674,121.17,-0.046026975,0.935851991,9.371309391,7.261271437,15.38890999,7.843543925,0.984886003,2.141599815,15.19970116,10.41078912,0.748969134,4559.396,6198.172,12.22476275,7.29097163,28.036,1.535939819,Healthcare-Services,185.2816125,35922268
ULTA UW Equity,20955746093,404.41,0.207546443,1.344309449,40.29510629,21.6069795,60.78020476,11.42219533,1.789831062,2.787712996,780.2116657,19.9341334,2.393265548,1846.756,1535.373,38.8665353,11.27219589,887.078,12.05570959,Retail,645.6699582,27352827
UNH UN Equity,4.55586E+11,485.61,0.236764356,0.951948702,11.84408554,8.184630249,25.07724366,6.010146142,1.395608442,2.983548389,14.43975904,26.57963795,1.543317,50276,76479,19.98594925,8.680396116,19889,6.266495015,Healthcare-Services,8287.665487,75043790
UNP UN Equity,1.40678E+11,224,0.029292446,0.870767832,11.62647827,10.63902927,47.55987354,29.91652908,0.360176091,4.046498923,8.070872947,21.66378445,6.370864463,31488,14161,16.55879548,7.689727799,6096,11.82796876,Transportation,3378.705841,27276220
UPS UN Equity,1.62075E+11,185.49,0.334396154,1.060609341,14.9584062,16.34326401,96.6449497,13.24945779,1.480337268,8.840576794,17.03457447,14.94356871,1.643001787,25528,14269,33.40113644,9.333430958,10813,10.5126244,Transportation,4124.401671,69577371
URI UN Equity,21572967086,301.25,0.331184328,1.327986479,13.9038687,6.611482061,23.02388032,14.26512968,0.540054626,3.621867882,5.370283019,17.58657953,2.143025234,10561,5991,15.97343135,9.428836149,491,3.558540977,Commercial Services,331.0803855,28191899
USB UN Equity,77169342975,51.94,0.007602762,1.01401782,-6.049681074,1.209939187,15.37981177,35.04687294,0.041768869,11.83263875,#N/A N/A,11.19396522,3.252802398,45091,55387,8.263308457,6.711672335,9870,1.746860167,Banks,-881.930373,42407711
V UN Equity,4.57164E+11,212.65,-0.150590762,1.026560426,10.34056578,17.86042234,42.96063904,51.07239162,0.332549397,2.495924306,30.80701754,35.55476536,15.22654231,21551,37589,31.04437875,9.618413783,14522,12.26207316,Diversified Finan Serv,8843.625519,89650022
VFC UN Equity,19447205874,50.08,-0.537424743,1.17330277,28.17467147,9.252526393,38.0639072,11.71220858,0.8740579,4.113893393,11.96025471,15.6685139,1.650541126,6798.481,3530.355,16.35307656,8.98225033,618.839,5.508223204,Apparel,485.9105574,32758492
VLO UN Equity,55264416655,135.42,0.567610085,0.886020958,75.58694848,4.846688184,15.08929059,0.815954096,2.310430115,2.945448685,3.271889401,20.0942835,0.41903531,15125,19817,12.3423982,7.262987566,4194,2.936357387,Oil&Gas,799.6758442,56258137
VMC UN Equity,22052760249,165.94,0.141582251,0.865297079,14.31806951,5.202845362,10.31174716,12.08169735,0.478261349,2.017888533,6.585016287,33.80818459,3.659195177,4667.6,6567.7,8.973622401,7.710802198,560.6,3.353980248,Building Materials,-153.9801261,22757057
VNO UN Equity,6354379259,33.14,-0.313283622,0.76303488,4.009225427,0.277434427,0.918704922,11.07462198,0.09818584,3.218570641,0.821558482,136.0952066,3.84569995,8986.153,7203.921,1.533469465,5.777792499,23.405,1.270266355,REITS,-778.738975,25175406
VRSK UW Equity,27421259931,173.66,-0.162495837,1.013415575,7.685125332,9.351655708,27.57969045,22.21703462,0.381727668,2.787078173,7.877952756,37.84305563,9.192571066,3610,2842.5,20.34468718,9.314099366,887.3,10.37734831,Commercial Services,495.0197555,25626112
VRSN UW Equity,19466110249,177.7,-0.342628151,0.903075695,4.94240553,42.17014572,#N/A N/A,59.11751945,0.719286344,#N/A N/A,10.41142274,24.99296722,14.6368794,1790.679,-1260.519,176.3310685,8.829625014,754.119,#N/A N/A,Internet,597.1643089,20468661
VRTX UW Equity,68910886132,269.44,-0.032999415,0.636424065,22.05552959,23.55854073,31.23940709,30.92126109,0.602751969,1.34053165,45.23739837,22.42460015,8.696756979,967.4,10100,27.10385381,7.394813553,2408.5,6.313570928,Biotechnology,1589.008852,43974196
VTR UN Equity,22450896628,56.17,0.186951935,0.699866831,0.86026163,0.087175122,0.204581469,1.280248443,0.162271246,2.312727649,0.850084869,1001.336985,5.552634076,12224.778,11226.043,1.833330995,6.185370397,-775.905,2.098342643,REITS,-1493.942269,30969902
VTRS UW Equity,14196348093,11.71,-0.455031961,0.879087508,49.72626821,3.491078683,9.377345367,-7.095374672,0.313887276,2.679041955,-0.053442314,7.224755949,0.802541201,23375.2,20492.7,2.035810858,4.71424928,2559.7,0.694274076,Pharmaceuticals,-1114.894404,56544520
VZ UN Equity,2.13384E+11,50.81,-0.161861107,0.495530933,4.147569607,6.321199962,29.00886486,16.51411165,0.377624285,4.565046247,6.092377018,9.408475474,1.574878747,177930,83200,12.49514223,4.833838818,19253,2.547502474,Telecommunications,12919.45788,66754433
WAB UN Equity,17291253594,94.67,0.077145457,1.0701617,3.51901113,3.390912139,6.210042044,7.13372539,0.428282479,1.816068257,4.949152542,28.3247464,2.231520422,4376,10239,6.339530361,8.529742364,943,1.723071218,Machinery-Diversified,-542.0612676,30059508
WAT UN Equity,20420381935,339.01,0.316483885,0.921696246,17.77776369,22.91310561,236.4615225,24.86986131,0.917312667,9.896401189,18.2853487,29.1631423,7.22688932,1601.399,367.554,41.05593297,8.504112854,586.008,54.58707012,Healthcare-Products,552.8565218,20869836
